"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"1","City of Agoura Hills",58,278,259,1,5,5,1749,8375,7779,20883
"2","City of Alhambra",450,519,502,11,13,8,8387,9671,9237,86724
"3","City of Arcadia",168,291,277,8,14,9,3513,6083,6000,57754
"4","City of Artesia",104,619,579,3,18,11,1586,9443,8479,16795
"5","City of Avalon",6,155,174,0,0,0,96,2481,2474,3869
"6","City of Azusa",449,897,908,8,16,20,3575,7144,7260,50040
"7","City of Baldwin Park",903,1176,1161,15,20,21,6391,8325,8202,76769
"8","City of Bell",663,1825,1881,22,61,86,3728,10261,10354,36332
"9","City of Bell Gardens",703,1632,1710,11,26,44,3820,8869,9260,43071
"10","City of Bellflower",869,1118,1114,32,41,47,7553,9716,9576,77735
"11","City of Beverly Hills",237,687,655,6,17,9,5209,15090,14406,34520
"12","City of Bradbury",6,561,648,0,0,0,20,1871,1624,1069
"13","City of Burbank",580,541,482,47,44,34,10412,9714,9107,107180
"14","City of Calabasas",126,518,474,10,41,34,2201,9049,8729,24323
"15","City of Carson",665,709,681,28,30,23,7279,7756,7452,93846
"16","City of Cerritos",224,447,465,5,10,6,3582,7154,7056,50067
"17","City of Claremont",106,291,298,2,5,3,2446,6704,6839,36484
"18","City of Commerce",198,1515,1528,1,8,7,1419,10858,10861,13069
"19","City of Compton",1455,1456,1470,24,24,32,9790,9799,10007,99904
"20","City of Covina",433,883,888,9,18,17,4492,9161,8920,49032
"21","City of Cudahy",460,1889,1942,10,41,66,2442,10030,10119,24347
"22","City of Culver City",210,527,467,26,65,44,5106,12808,12391,39865
"23","City of Diamond Bar",166,289,273,4,7,5,3327,5785,5390,57515
"24","City of Downey",1608,1407,1374,46,40,39,11261,9855,9609,114263
"25","City of Duarte",196,890,780,18,82,50,2104,9557,9014,22016
"26","City of El Monte",1520,1296,1286,45,38,40,10357,8832,8694,117269
"27","City of El Segundo",54,322,305,0,0,0,1577,9395,9243,16786
"28","City of Gardena",513,837,810,30,49,33,5512,8990,8709,61310
"29","City of Glendale",1432,693,591,106,51,35,16984,8225,7603,206493
"30","City of Glendora",337,639,604,10,19,16,3638,6895,6731,52764
