"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","population"
"1","City of Agoura Hills",1067,5109,5213,19,91,90,20883
"2","City of Alhambra",6926,7986,7939,209,241,171,86724
"3","City of Arcadia",2765,4788,4780,137,237,154,57754
"4","City of Artesia",2084,12408,11757,73,435,363,16795
"5","City of Avalon",16,414,415,0,0,0,3869
"6","City of Azusa",6348,12686,12707,119,238,290,50040
"7","City of Baldwin Park",13205,17201,17058,317,413,465,76769
"8","City of Bell",6818,18766,18789,120,330,437,36332
"9","City of Bell Gardens",8395,19491,19742,112,260,393,43071
"10","City of Bellflower",10859,13969,13804,197,253,279,77735
"11","City of Beverly Hills",2726,7897,8098,33,96,55,34520
"12","City of Bradbury",39,3648,4113,0,0,0,1069
"13","City of Burbank",9015,8411,8159,244,228,181,107180
"14","City of Calabasas",1303,5357,5335,32,132,109,24323
"15","City of Carson",9943,10595,10439,255,272,211,93846
"16","City of Cerritos",3097,6186,6320,59,118,79,50067
"17","City of Claremont",2297,6296,6714,56,153,94,36484
"18","City of Commerce",2405,18402,18252,40,306,301,13069
"19","City of Compton",17230,17247,17313,240,240,311,99904
"20","City of Covina",6445,13144,12970,164,334,283,49032
"21","City of Cudahy",4826,19822,19855,61,251,382,24347
"22","City of Culver City",2244,5629,5596,110,276,189,39865
"23","City of Diamond Bar",3288,5717,5594,85,148,114,57515
"24","City of Downey",17662,15457,15179,300,263,257,114263
"25","City of Duarte",2328,10574,10257,97,441,301,22016
"26","City of El Monte",17279,14734,14576,435,371,375,117269
"27","City of El Segundo",745,4438,4469,6,36,32,16786
"28","City of Gardena",6438,10501,10464,193,315,239,61310
"29","City of Glendale",20306,9834,9420,628,304,209,206493
"30","City of Glendora",4861,9213,9105,178,337,254,52764
"31","City of Hawaiian Gardens",2253,15352,15242,24,164,187,14676
"32","City of Hawthorne",10657,12003,11872,211,238,271,88787
"33","City of Hermosa Beach",1031,5241,5088,10,51,68,19670
"34","City of Hidden Hills",92,4868,6733,2,106,66,1890
"35","City of Huntington Park",11280,18963,18858,172,289,374,59484
"36","City of Industry",173,39588,44776,6,1373,1278,437
"37","City of Inglewood",13856,12199,12042,311,274,285,113582
"38","City of Irwindale",253,17341,17271,7,480,435,1459
"39","City of La Canada Flintridge",772,3731,4656,17,82,51,20693
"40","City of La Habra Heights",117,2145,2212,2,37,16,5455
"41","City of La Mirada",4327,8724,8579,115,232,173,49599
"42","City of La Puente",6726,16527,16203,120,295,303,40697
"43","City of La Verne",2925,8789,8943,50,150,94,33282
"44","City of Lakewood",7387,9192,9178,100,124,107,80362
"45","City of Lancaster",22598,13987,14084,284,176,207,161570
"46","City of Lawndale",3641,10832,10549,54,161,187,33614
"47","City of Lomita",1520,7333,7396,35,169,138,20729
"48","City of Lynwood",13391,18586,18730,237,329,490,72047
"49","City of Malibu",452,3487,3731,8,62,30,12961
"50","City of Manhattan Beach",1390,3861,3916,17,47,42,35999
"51","City of Maywood",5248,18710,18983,92,328,478,28049
"52","City of Monrovia",3217,8291,8365,78,201,184,38800
"53","City of Montebello",10240,15907,15809,218,339,279,64375
"54","City of Monterey Park",4853,7794,7845,193,310,166,62262
"55","City of Norwalk",16234,15084,14783,375,348,344,107622
"56","City of Palmdale",24938,15687,15868,311,196,254,158968
"57","City of Palos Verdes Estates",491,3631,4209,9,67,26,13522
"58","City of Paramount",10020,17886,17760,154,275,365,56023
"59","City of Pico Rivera",11217,17449,17158,269,418,371,64284
"60","City of Pomona",24540,15738,15556,460,295,354,155931
"61","City of Rancho Palos Verdes",1561,3652,3930,58,136,57,42747
"62","City of Redondo Beach",2908,4233,4426,50,73,74,68697
"63","City of Rolling Hills",59,3041,4966,2,103,33,1940
"64","City of Rolling Hills Estates",292,3599,4714,8,99,45,8113
"65","City of Rosemead",4977,8992,8754,151,273,212,55350
"66","City of San Dimas",3263,9454,9520,94,272,186,34516
"67","City of San Fernando",5312,21583,21282,64,260,316,24612
"68","City of San Gabriel",3269,7982,7683,205,501,347,40954
"69","City of San Marino",388,2922,2975,10,75,65,13277
"70","City of Santa Clarita",20732,9406,9499,266,121,134,220424
"71","City of Santa Fe Springs",2894,15759,15722,38,207,175,18364
"72","City of Santa Monica",4890,5290,5201,183,198,134,92446
"73","City of Sierra Madre",477,4341,4214,13,118,63,10989
